iter	Passed	Remaining
0	22	22167
1	48	23968
2	75	25251
3	100	24936
4	119	23742
5	138	22987
6	158	22475
7	178	22149
8	202	22303
9	228	22630
10	249	22474
11	269	22176
12	289	21977
13	306	21620
14	326	21439
15	344	21191
16	362	20985
17	382	20877
18	402	20773
19	420	20612
20	442	20624
21	460	20458
22	480	20392
23	497	20226
24	517	20188
25	534	20027
26	553	19956
27	574	19954
28	592	19823
29	611	19776
30	629	19678
31	651	19706
32	670	19641
33	687	19524
34	704	19411
35	723	19378
36	742	19336
37	760	19240
38	779	19212
39	798	19175
40	815	19074
41	832	18986
42	852	18980
43	878	19090
44	899	19094
45	916	19003
46	936	18983
47	957	18982
48	977	18964
49	993	18878
50	1013	18852
51	1041	18994
52	1070	19130
53	1091	19126
54	1113	19131
55	1132	19097
56	1150	19036
57	1166	18953
58	1184	18897
59	1202	18832
60	1222	18817
61	1240	18760
62	1259	18739
63	1280	18728
64	1301	18719
65	1328	18793
66	1346	18751
67	1363	18690
68	1382	18658
69	1400	18608
70	1417	18546
71	1437	18525
72	1454	18468
73	1471	18414
74	1489	18369
75	1509	18351
76	1527	18304
77	1548	18302
78	1570	18311
79	1587	18258
80	1605	18218
81	1625	18201
82	1644	18169
83	1662	18133
84	1680	18086
85	1699	18057
86	1718	18039
87	1736	18001
88	1756	17975
89	1778	17978
90	1800	17981
91	1816	17923
92	1833	17879
93	1853	17867
94	1872	17834
95	1891	17813
96	1911	17798
97	1931	17777
98	1949	17741
99	1967	17705
100	1989	17710
101	2008	17681
102	2032	17702
103	2061	17756
104	2079	17727
105	2097	17693
106	2116	17664
107	2135	17639
108	2156	17624
109	2172	17578
110	2197	17599
111	2215	17568
112	2236	17553
113	2253	17516
114	2270	17475
115	2290	17452
116	2309	17429
117	2326	17388
118	2342	17344
119	2362	17326
120	2383	17312
121	2403	17296
122	2424	17283
123	2442	17257
124	2462	17239
125	2482	17217
126	2502	17201
127	2522	17182
128	2541	17163
129	2559	17128
130	2578	17103
131	2598	17083
132	2619	17073
133	2643	17085
134	2664	17074
135	2682	17042
136	2702	17022
137	2722	17004
138	2741	16981
139	2760	16958
140	2779	16933
141	2799	16912
142	2817	16882
143	2837	16866
144	2855	16837
145	2882	16861
146	2902	16844
147	2923	16827
148	2940	16796
149	2961	16779
150	2981	16761
151	3000	16738
152	3027	16761
153	3055	16787
154	3079	16789
155	3102	16786
156	3120	16754
157	3137	16719
158	3157	16700
159	3178	16685
160	3197	16664
161	3217	16644
162	3237	16622
163	3256	16600
164	3276	16581
165	3304	16600
166	3322	16574
167	3343	16557
168	3363	16537
169	3382	16512
170	3403	16499
171	3423	16481
172	3445	16468
173	3465	16449
174	3483	16424
175	3507	16421
176	3531	16420
177	3552	16403
178	3571	16382
179	3590	16356
180	3610	16335
181	3629	16313
182	3649	16294
183	3670	16277
184	3687	16246
185	3710	16236
186	3736	16244
187	3755	16222
188	3775	16200
189	3795	16179
190	3812	16148
191	3833	16131
192	3854	16115
193	3873	16093
194	3893	16072
195	3915	16062
196	3940	16061
197	3961	16046
198	3980	16022
199	4003	16014
200	4027	16008
201	4050	16001
202	4075	15999
203	4093	15971
204	4112	15948
205	4133	15933
206	4156	15923
207	4177	15904
208	4198	15889
209	4218	15868
210	4239	15851
211	4258	15829
212	4278	15809
213	4296	15781
214	4314	15752
215	4334	15732
216	4360	15735
217	4380	15714
218	4400	15691
219	4418	15664
220	4437	15640
221	4456	15616
222	4475	15592
223	4493	15567
224	4513	15545
225	4535	15531
226	4552	15502
227	4572	15481
228	4596	15474
229	4616	15455
230	4634	15429
231	4653	15405
232	4673	15385
233	4694	15366
234	4712	15340
235	4731	15317
236	4750	15294
237	4771	15276
238	4796	15272
239	4817	15256
240	4835	15228
241	4854	15205
242	4874	15184
243	4891	15155
244	4911	15136
245	4927	15101
246	4946	15079
247	4965	15056
248	4984	15033
249	5012	15036
250	5042	15045
251	5062	15027
252	5082	15005
253	5102	14987
254	5122	14965
255	5141	14943
256	5161	14920
257	5180	14899
258	5200	14878
259	5219	14856
260	5240	14838
261	5264	14828
262	5284	14808
263	5304	14786
264	5322	14763
265	5341	14739
266	5359	14713
267	5380	14696
268	5396	14665
269	5417	14647
270	5437	14627
271	5457	14605
272	5482	14600
273	5503	14581
274	5523	14563
275	5543	14540
276	5561	14515
277	5579	14491
278	5599	14470
279	5619	14449
280	5641	14435
281	5660	14413
282	5682	14396
283	5704	14380
284	5724	14361
285	5744	14341
286	5762	14316
287	5781	14294
288	5800	14271
289	5819	14246
290	5839	14226
291	5859	14208
292	5879	14188
293	5905	14181
294	5928	14167
295	5948	14147
296	5974	14141
297	5999	14134
298	6021	14116
299	6041	14096
300	6061	14076
301	6081	14057
302	6098	14028
303	6120	14013
304	6145	14002
305	6165	13982
306	6186	13965
307	6206	13944
308	6226	13923
309	6245	13901
310	6264	13878
311	6284	13857
312	6300	13829
313	6318	13803
314	6341	13790
315	6364	13776
316	6383	13754
317	6404	13734
318	6423	13713
319	6444	13694
320	6464	13674
321	6484	13653
322	6502	13629
323	6522	13609
324	6541	13586
325	6564	13571
326	6586	13555
327	6604	13530
328	6622	13507
329	6647	13497
330	6678	13498
331	6706	13494
332	6735	13491
333	6754	13467
334	6772	13444
335	6799	13437
336	6819	13417
337	6838	13394
338	6857	13371
339	6873	13342
340	6893	13322
341	6913	13302
342	6930	13274
343	6949	13253
344	6974	13241
345	7003	13237
346	7028	13226
347	7050	13208
348	7069	13187
349	7090	13167
350	7110	13146
351	7129	13124
352	7145	13097
353	7163	13071
354	7182	13049
355	7202	13029
356	7228	13018
357	7248	12999
358	7266	12974
359	7287	12954
360	7307	12934
361	7326	12911
362	7344	12888
363	7364	12866
364	7383	12845
365	7402	12823
366	7425	12808
367	7448	12792
368	7469	12773
369	7489	12751
370	7509	12731
371	7530	12713
372	7551	12693
373	7569	12669
374	7588	12648
375	7607	12624
376	7627	12605
377	7653	12593
378	7672	12570
379	7690	12548
380	7710	12527
381	7730	12505
382	7749	12483
383	7769	12462
384	7787	12440
385	7807	12419
386	7829	12401
387	7854	12388
388	7874	12368
389	7895	12349
390	7915	12328
391	7935	12307
392	7960	12295
393	7988	12286
394	8010	12269
395	8031	12249
396	8054	12234
397	8076	12216
398	8096	12194
399	8115	12173
400	8135	12153
401	8154	12129
402	8175	12110
403	8195	12090
404	8215	12069
405	8231	12042
406	8250	12021
407	8268	11996
408	8294	11985
409	8315	11965
410	8333	11942
411	8353	11922
412	8374	11902
413	8393	11880
414	8412	11858
415	8432	11837
416	8452	11817
417	8473	11798
418	8498	11783
419	8518	11763
420	8537	11741
421	8556	11720
422	8577	11699
423	8596	11678
424	8615	11656
425	8634	11634
426	8653	11612
427	8672	11590
428	8696	11574
429	8720	11560
430	8740	11539
431	8760	11517
432	8779	11496
433	8799	11475
434	8818	11454
435	8839	11434
436	8859	11413
437	8878	11391
438	8898	11371
439	8920	11353
440	8949	11344
441	8977	11333
442	8999	11314
443	9020	11295
444	9039	11274
445	9057	11251
446	9077	11230
447	9096	11208
448	9115	11186
449	9137	11168
450	9159	11149
451	9177	11127
452	9196	11104
453	9215	11083
454	9233	11060
455	9253	11039
456	9269	11014
457	9289	10993
458	9308	10971
459	9328	10950
460	9352	10934
461	9375	10917
462	9393	10895
463	9412	10873
464	9432	10852
465	9451	10831
466	9472	10810
467	9491	10788
468	9511	10769
469	9532	10748
470	9553	10730
471	9578	10714
472	9598	10694
473	9618	10673
474	9633	10647
475	9652	10626
476	9670	10603
477	9690	10582
478	9710	10562
479	9730	10541
480	9750	10520
481	9774	10504
482	9798	10488
483	9819	10468
484	9837	10446
485	9858	10426
486	9877	10404
487	9897	10384
488	9916	10363
489	9944	10350
490	9971	10337
491	9996	10321
492	10018	10302
493	10037	10281
494	10057	10260
495	10077	10240
496	10097	10219
497	10116	10197
498	10135	10176
499	10155	10155
500	10175	10134
501	10195	10113
502	10218	10096
503	10237	10074
504	10258	10054
505	10275	10032
506	10296	10011
507	10315	9990
508	10336	9970
509	10354	9948
510	10374	9928
511	10393	9906
512	10420	9891
513	10440	9871
514	10459	9850
515	10479	9829
516	10499	9808
517	10518	9787
518	10537	9766
519	10557	9744
520	10577	9724
521	10598	9704
522	10622	9688
523	10644	9669
524	10664	9649
525	10684	9628
526	10705	9608
527	10724	9587
528	10745	9567
529	10765	9546
530	10784	9525
531	10805	9505
532	10825	9484
533	10849	9467
534	10872	9449
535	10892	9429
536	10911	9408
537	10940	9394
538	10968	9381
539	10988	9360
540	11009	9340
541	11029	9319
542	11047	9297
543	11073	9282
544	11092	9260
545	11113	9240
546	11133	9220
547	11153	9199
548	11173	9178
549	11191	9156
550	11211	9135
551	11228	9113
552	11248	9092
553	11267	9070
554	11290	9052
555	11312	9033
556	11332	9013
557	11352	8992
558	11372	8971
559	11392	8951
560	11412	8930
561	11433	8910
562	11452	8889
563	11472	8868
564	11491	8847
565	11516	8830
566	11535	8809
567	11555	8788
568	11575	8767
569	11594	8746
570	11612	8724
571	11633	8704
572	11653	8684
573	11674	8664
574	11695	8644
575	11715	8624
576	11739	8606
577	11761	8587
578	11781	8566
579	11801	8546
580	11821	8524
581	11840	8503
582	11860	8483
583	11880	8463
584	11905	8445
585	11930	8428
586	11961	8416
587	11983	8396
588	12000	8373
589	12020	8353
590	12040	8332
591	12060	8312
592	12085	8295
593	12112	8278
594	12133	8259
595	12153	8238
596	12175	8218
597	12202	8202
598	12223	8182
599	12244	8162
600	12263	8141
601	12284	8121
602	12304	8100
603	12322	8079
604	12341	8057
605	12360	8036
606	12380	8015
607	12401	7995
608	12423	7976
609	12443	7955
610	12462	7934
611	12483	7914
612	12504	7894
613	12524	7873
614	12544	7853
615	12564	7832
616	12583	7811
617	12601	7789
618	12624	7770
619	12649	7753
620	12668	7731
621	12689	7711
622	12709	7690
623	12728	7669
624	12747	7648
625	12769	7628
626	12786	7606
627	12806	7585
628	12825	7564
629	12850	7547
630	12871	7527
631	12895	7509
632	12923	7492
633	12946	7473
634	12964	7451
635	12981	7429
636	13002	7409
637	13021	7388
638	13040	7367
639	13061	7347
640	13087	7329
641	13108	7309
642	13129	7289
643	13150	7269
644	13169	7248
645	13188	7227
646	13210	7207
647	13229	7186
648	13249	7165
649	13269	7145
650	13293	7126
651	13313	7105
652	13332	7085
653	13352	7064
654	13371	7043
655	13390	7021
656	13409	7000
657	13427	6978
658	13447	6958
659	13467	6937
660	13487	6917
661	13508	6897
662	13533	6879
663	13553	6858
664	13573	6837
665	13590	6815
666	13610	6795
667	13630	6774
668	13649	6753
669	13669	6732
670	13688	6711
671	13707	6690
672	13731	6671
673	13755	6653
674	13775	6632
675	13795	6612
676	13814	6591
677	13830	6568
678	13849	6547
679	13869	6526
680	13897	6510
681	13924	6492
682	13949	6474
683	13971	6454
684	13988	6432
685	14007	6411
686	14026	6390
687	14046	6369
688	14064	6348
689	14083	6327
690	14104	6307
691	14123	6286
692	14143	6265
693	14163	6245
694	14190	6227
695	14209	6206
696	14227	6184
697	14245	6163
698	14264	6142
699	14284	6121
700	14304	6101
701	14322	6080
702	14341	6058
703	14361	6038
704	14388	6020
705	14409	6000
706	14429	5980
707	14449	5959
708	14469	5938
709	14490	5918
710	14510	5898
711	14528	5876
712	14545	5855
713	14569	5835
714	14592	5816
715	14611	5795
716	14630	5774
717	14649	5753
718	14666	5731
719	14685	5711
720	14705	5690
721	14723	5669
722	14743	5648
723	14762	5627
724	14785	5608
725	14809	5589
726	14827	5568
727	14848	5547
728	14867	5526
729	14891	5507
730	14919	5490
731	14939	5469
732	14958	5448
733	14979	5428
734	15002	5409
735	15024	5389
736	15043	5368
737	15063	5347
738	15083	5327
739	15101	5305
740	15120	5285
741	15140	5264
742	15160	5243
743	15179	5223
744	15198	5202
745	15217	5181
746	15245	5163
747	15263	5142
748	15283	5121
749	15301	5100
750	15319	5079
751	15336	5057
752	15355	5036
753	15373	5015
754	15392	4995
755	15410	4973
756	15430	4953
757	15458	4935
758	15478	4914
759	15498	4894
760	15517	4873
761	15535	4852
762	15552	4830
763	15572	4810
764	15592	4789
765	15612	4769
766	15633	4749
767	15659	4730
768	15679	4710
769	15695	4688
770	15715	4667
771	15734	4647
772	15755	4626
773	15774	4605
774	15790	4584
775	15810	4563
776	15828	4542
777	15851	4523
778	15881	4505
779	15914	4488
780	15935	4468
781	15955	4448
782	15976	4427
783	15998	4407
784	16017	4386
785	16037	4366
786	16060	4346
787	16089	4328
788	16109	4308
789	16128	4287
790	16145	4265
791	16165	4245
792	16183	4224
793	16200	4203
794	16221	4182
795	16242	4162
796	16263	4142
797	16291	4123
798	16318	4105
799	16338	4084
800	16359	4064
801	16383	4044
802	16405	4024
803	16426	4004
804	16447	3984
805	16468	3963
806	16490	3943
807	16520	3925
808	16545	3906
809	16567	3886
810	16591	3866
811	16613	3846
812	16635	3826
813	16657	3806
814	16679	3786
815	16702	3766
816	16722	3745
817	16757	3728
818	16782	3709
819	16804	3688
820	16828	3669
821	16859	3650
822	16899	3634
823	16924	3614
824	16947	3594
825	16971	3575
826	17000	3556
827	17022	3536
828	17045	3516
829	17066	3495
830	17089	3475
831	17110	3455
832	17133	3434
833	17157	3415
834	17185	3395
835	17215	3377
836	17240	3357
837	17262	3337
838	17286	3317
839	17310	3297
840	17333	3277
841	17354	3256
842	17374	3235
843	17402	3216
844	17430	3197
845	17454	3177
846	17477	3157
847	17505	3137
848	17530	3117
849	17552	3097
850	17574	3077
851	17596	3056
852	17629	3038
853	17654	3018
854	17674	2997
855	17698	2977
856	17720	2956
857	17742	2936
858	17764	2915
859	17786	2895
860	17810	2875
861	17834	2855
862	17878	2838
863	17906	2818
864	17932	2798
865	17957	2778
866	17982	2758
867	18004	2738
868	18028	2717
869	18062	2699
870	18086	2678
871	18110	2658
872	18134	2638
873	18158	2617
874	18181	2597
875	18204	2576
876	18227	2556
877	18250	2535
878	18282	2516
879	18305	2496
880	18329	2475
881	18351	2455
882	18375	2434
883	18398	2414
884	18423	2393
885	18444	2373
886	18470	2353
887	18497	2333
888	18531	2313
889	18556	2293
890	18580	2272
891	18601	2252
892	18621	2231
893	18639	2210
894	18663	2189
895	18684	2168
896	18708	2148
897	18746	2129
898	18772	2109
899	18796	2088
900	18824	2068
901	18870	2050
902	18894	2029
903	18924	2009
904	18950	1989
905	18971	1968
906	18992	1947
907	19014	1926
908	19038	1905
909	19062	1885
910	19084	1864
911	19107	1843
912	19130	1822
913	19166	1803
914	19192	1782
915	19215	1762
916	19239	1741
917	19261	1720
918	19282	1699
919	19305	1678
920	19328	1657
921	19351	1637
922	19379	1616
923	19407	1596
924	19431	1575
925	19453	1554
926	19476	1533
927	19497	1512
928	19518	1491
929	19541	1470
930	19564	1450
931	19595	1429
932	19644	1410
933	19670	1389
934	19692	1369
935	19716	1348
936	19739	1327
937	19761	1306
938	19785	1285
939	19806	1264
940	19851	1244
941	19882	1224
942	19908	1203
943	19931	1182
944	19955	1161
945	19978	1140
946	20003	1119
947	20025	1098
948	20049	1077
949	20083	1057
950	20106	1035
951	20130	1014
952	20152	993
953	20175	972
954	20198	951
955	20218	930
956	20240	909
957	20265	888
958	20288	867
959	20324	846
960	20350	825
961	20373	804
962	20398	783
963	20421	762
964	20444	741
965	20466	720
966	20489	699
967	20525	678
968	20549	657
969	20574	636
970	20596	615
971	20618	593
972	20640	572
973	20664	551
974	20687	530
975	20714	509
976	20743	488
977	20767	467
978	20788	445
979	20834	425
980	20864	404
981	20890	382
982	20913	361
983	20945	340
984	20968	319
985	20991	298
986	21012	276
987	21035	255
988	21059	234
989	21081	212
990	21105	191
991	21126	170
992	21159	149
993	21186	127
994	21208	106
995	21230	85
996	21251	63
997	21275	42
998	21297	21
999	21319	0
